timestamp,date,hour,actual_power_w,predicted_power_w,actual_kwh,predicted_kwh,voltage,current_a,cost_inr,carbon_kg,anomaly,status
2025-11-18T14:00:00,2025-11-18,14,3018.3,2819.61,3.0183,2.8196,229.53,14.058,21.13,2.1611,False,normal
2025-11-18T15:00:00,2025-11-18,15,5174.82,4973.07,5.1748,4.9731,211.03,24.49,36.22,3.7052,False,normal
2025-11-18T16:00:00,2025-11-18,16,4967.9,5283.15,4.9679,5.2832,213.85,23.72,34.78,3.557,False,normal
2025-11-18T17:00:00,2025-11-18,17,4683.69,4815.44,4.6837,4.8154,230.17,24.325,32.79,3.3535,True,anomaly
2025-11-18T18:00:00,2025-11-18,18,3894.93,4017.4,3.8949,4.0174,225.12,18.495,27.26,2.7888,False,normal
2025-11-18T19:00:00,2025-11-18,19,4616.81,4796.57,4.6168,4.7966,230.11,22.22,32.32,3.3056,False,normal
2025-11-18T20:00:00,2025-11-18,20,4442.76,4903.17,4.4428,4.9032,226.49,22.854,31.1,3.181,False,normal
2025-11-18T21:00:00,2025-11-18,21,1313.29,1177.77,1.3133,1.1778,229.82,6.786,9.19,0.9403,False,normal
2025-11-18T22:00:00,2025-11-18,22,3306.64,3379.9,3.3066,3.3799,229.39,16.603,23.15,2.3676,True,anomaly
2025-11-18T23:00:00,2025-11-18,23,84.89,95.63,0.0849,0.0956,227.27,0.414,0.59,0.0608,False,normal
2025-11-19T00:00:00,2025-11-19,0,0.0,0.0,0.0,0.0,217.6,0.0,0.0,0.0,False,normal
2025-11-19T01:00:00,2025-11-19,1,3353.37,3197.88,3.3534,3.1979,229.01,16.96,23.47,2.401,True,anomaly
2025-11-19T02:00:00,2025-11-19,2,2042.59,2051.43,2.0426,2.0514,227.67,9.573,14.3,1.4625,True,anomaly
2025-11-19T03:00:00,2025-11-19,3,2857.6,3005.82,2.8576,3.0058,218.41,14.125,20.0,2.046,True,anomaly
2025-11-19T04:00:00,2025-11-19,4,1592.4,1384.84,1.5924,1.3848,215.07,7.267,11.15,1.1402,True,anomaly
2025-11-19T05:00:00,2025-11-19,5,3614.79,3575.77,3.6148,3.5758,213.03,17.173,25.3,2.5882,True,anomaly
2025-11-19T06:00:00,2025-11-19,6,3135.67,3307.31,3.1357,3.3073,222.0,15.255,21.95,2.2451,False,normal
2025-11-19T07:00:00,2025-11-19,7,1815.5,1818.6,1.8155,1.8186,227.42,8.41,12.71,1.2999,False,normal
2025-11-19T08:00:00,2025-11-19,8,4767.61,5156.28,4.7676,5.1563,225.04,24.485,33.37,3.4136,True,anomaly
2025-11-19T09:00:00,2025-11-19,9,1934.6,2087.48,1.9346,2.0875,219.46,9.942,13.54,1.3852,False,normal
2025-11-19T10:00:00,2025-11-19,10,3828.75,3229.31,3.8287,3.2293,221.04,18.076,26.8,2.7414,False,normal
2025-11-19T11:00:00,2025-11-19,11,2742.78,2617.04,2.7428,2.617,222.96,14.283,19.2,1.9638,False,normal
2025-11-19T12:00:00,2025-11-19,12,2549.5,2535.27,2.5495,2.5353,229.21,12.988,17.85,1.8254,False,normal
2025-11-19T13:00:00,2025-11-19,13,3591.18,2791.9,3.5912,2.7919,219.7,16.634,25.14,2.5713,False,normal
2025-11-19T14:00:00,2025-11-19,14,3380.5,3424.61,3.3805,3.4246,209.8,18.029,23.66,2.4204,False,normal
2025-11-19T15:00:00,2025-11-19,15,5283.79,6054.56,5.2838,6.0546,229.8,25.104,36.99,3.7832,False,normal
2025-11-19T16:00:00,2025-11-19,16,3286.85,2890.43,3.2868,2.8904,228.71,17.282,23.01,2.3534,False,normal
2025-11-19T17:00:00,2025-11-19,17,1940.6,2178.19,1.9406,2.1782,216.21,8.887,13.58,1.3895,False,normal
2025-11-19T18:00:00,2025-11-19,18,3097.62,3010.8,3.0976,3.0108,213.41,15.553,21.68,2.2179,False,normal
2025-11-19T19:00:00,2025-11-19,19,5040.87,5508.41,5.0409,5.5084,222.63,23.859,35.29,3.6093,False,normal
2025-11-19T20:00:00,2025-11-19,20,1563.58,1719.63,1.5636,1.7196,225.24,8.334,10.95,1.1195,False,normal
2025-11-19T21:00:00,2025-11-19,21,3747.66,3511.54,3.7477,3.5115,224.28,17.143,26.23,2.6833,True,anomaly
2025-11-19T22:00:00,2025-11-19,22,2024.49,2321.48,2.0245,2.3215,221.63,10.305,14.17,1.4495,False,normal
2025-11-19T23:00:00,2025-11-19,23,322.95,327.47,0.323,0.3275,227.44,1.553,2.26,0.2312,False,normal
2025-11-20T00:00:00,2025-11-20,0,1528.61,1545.17,1.5286,1.5452,212.53,8.122,10.7,1.0945,True,anomaly
2025-11-20T01:00:00,2025-11-20,1,1836.76,1780.29,1.8368,1.7803,219.76,9.527,12.86,1.3151,True,anomaly
2025-11-20T02:00:00,2025-11-20,2,1583.38,2058.89,1.5834,2.0589,216.69,8.039,11.08,1.1337,True,anomaly
2025-11-20T03:00:00,2025-11-20,3,1211.86,1344.5,1.2119,1.3445,226.89,6.314,8.48,0.8677,False,normal
2025-11-20T04:00:00,2025-11-20,4,1267.3,966.83,1.2673,0.9668,225.09,6.582,8.87,0.9074,False,normal
2025-11-20T05:00:00,2025-11-20,5,304.8,305.08,0.3048,0.3051,218.36,1.429,2.13,0.2182,False,normal
2025-11-20T06:00:00,2025-11-20,6,3012.76,3114.97,3.0128,3.115,217.68,14.451,21.09,2.1571,False,normal
2025-11-20T07:00:00,2025-11-20,7,3573.51,3633.82,3.5735,3.6338,210.74,17.682,25.01,2.5586,False,normal
2025-11-20T08:00:00,2025-11-20,8,1586.52,1676.53,1.5865,1.6765,210.59,7.936,11.11,1.136,False,normal
2025-11-20T09:00:00,2025-11-20,9,5060.24,4998.04,5.0602,4.998,211.36,24.025,35.42,3.6231,False,normal
2025-11-20T10:00:00,2025-11-20,10,5013.13,4535.22,5.0131,4.5352,221.55,24.316,35.09,3.5894,False,normal
2025-11-20T11:00:00,2025-11-20,11,4763.69,4808.13,4.7637,4.8081,220.23,22.663,33.35,3.4108,True,anomaly
2025-11-20T12:00:00,2025-11-20,12,1400.73,1387.64,1.4007,1.3876,214.08,6.38,9.81,1.0029,False,normal
2025-11-20T13:00:00,2025-11-20,13,2274.37,2203.45,2.2744,2.2034,227.47,10.715,15.92,1.6284,False,normal
2025-11-20T14:00:00,2025-11-20,14,5331.36,5823.79,5.3314,5.8238,221.21,25.535,37.32,3.8173,False,normal
2025-11-20T15:00:00,2025-11-20,15,4698.52,4695.14,4.6985,4.6951,216.53,23.665,32.89,3.3641,False,normal
2025-11-20T16:00:00,2025-11-20,16,5439.17,5640.48,5.4392,5.6405,223.8,25.146,38.07,3.8944,False,normal
2025-11-20T17:00:00,2025-11-20,17,4743.69,3672.02,4.7437,3.672,230.09,23.689,33.21,3.3965,False,normal
