timestamp,date,time_slot,weekday,pc_on,bulb_night_active,heater_on,motor_active,energy_kwh,cost_rs,status
2025-11-18 09:00:00,2025-11-18,09:00-09:59,1,1,0,0,0,0.226,1.58,low_usage
2025-11-18 10:00:00,2025-11-18,10:00-10:59,1,1,0,0,1,3.325,23.27,normal
2025-11-18 11:00:00,2025-11-18,11:00-11:59,1,1,0,0,1,3.421,23.95,normal
2025-11-18 12:00:00,2025-11-18,12:00-12:59,1,1,0,0,1,3.49,24.43,normal
2025-11-18 13:00:00,2025-11-18,13:00-13:59,1,1,0,0,1,3.274,22.92,normal
2025-11-18 14:00:00,2025-11-18,14:00-14:59,1,1,0,0,1,3.245,22.72,normal
2025-11-18 15:00:00,2025-11-18,15:00-15:59,1,1,0,0,1,2.906,20.34,normal
2025-11-18 16:00:00,2025-11-18,16:00-16:59,1,1,0,0,1,3.173,22.21,normal
2025-11-18 17:00:00,2025-11-18,17:00-17:59,1,1,0,0,0,0.224,1.57,low_usage
2025-11-18 18:00:00,2025-11-18,18:00-18:59,1,1,1,0,0,0.359,2.51,low_usage
2025-11-18 19:00:00,2025-11-18,19:00-19:59,1,0,1,1,0,2.29,16.03,normal
2025-11-18 20:00:00,2025-11-18,20:00-20:59,1,0,1,1,0,2.054,14.38,normal
2025-11-18 21:00:00,2025-11-18,21:00-21:59,1,0,1,1,0,2.375,16.63,normal
2025-11-18 22:00:00,2025-11-18,22:00-22:59,1,0,1,1,0,2.33,16.31,normal
2025-11-18 23:00:00,2025-11-18,23:00-23:59,1,0,1,1,0,2.353,16.47,normal
2025-11-19 00:00:00,2025-11-19,00:00-00:59,2,0,1,0,0,0.149,1.04,low_usage
2025-11-19 01:00:00,2025-11-19,01:00-01:59,2,0,1,0,0,0.173,1.21,low_usage
2025-11-19 02:00:00,2025-11-19,02:00-02:59,2,0,1,0,0,0.17,1.19,low_usage
2025-11-19 03:00:00,2025-11-19,03:00-03:59,2,0,1,0,0,0.155,1.08,low_usage
2025-11-19 04:00:00,2025-11-19,04:00-04:59,2,0,1,0,0,0.149,1.04,low_usage
2025-11-19 05:00:00,2025-11-19,05:00-05:59,2,0,1,1,0,2.138,14.96,normal
2025-11-19 06:00:00,2025-11-19,06:00-06:59,2,0,1,1,0,1.96,13.72,normal
2025-11-19 07:00:00,2025-11-19,07:00-07:59,2,0,0,1,0,2.004,14.03,normal
2025-11-19 08:00:00,2025-11-19,08:00-08:59,2,0,0,1,0,1.807,12.65,normal
2025-11-19 09:00:00,2025-11-19,09:00-09:59,2,1,0,0,0,0.211,1.48,low_usage
2025-11-19 10:00:00,2025-11-19,10:00-10:59,2,1,0,0,1,3.123,21.86,normal
2025-11-19 11:00:00,2025-11-19,11:00-11:59,2,1,0,0,1,3.463,24.24,normal
2025-11-19 12:00:00,2025-11-19,12:00-12:59,2,1,0,0,1,3.186,22.3,normal
2025-11-19 13:00:00,2025-11-19,13:00-13:59,2,1,0,0,1,3.177,22.24,normal
2025-11-19 14:00:00,2025-11-19,14:00-14:59,2,1,0,0,1,3.409,23.86,normal
2025-11-19 15:00:00,2025-11-19,15:00-15:59,2,1,0,0,1,3.349,23.45,normal
2025-11-19 16:00:00,2025-11-19,16:00-16:59,2,1,0,0,1,3.23,22.61,normal
2025-11-19 17:00:00,2025-11-19,17:00-17:59,2,1,0,0,0,0.204,1.43,low_usage
2025-11-19 18:00:00,2025-11-19,18:00-18:59,2,1,1,0,0,0.4,2.8,low_usage
2025-11-19 19:00:00,2025-11-19,19:00-19:59,2,0,1,1,0,2.069,14.49,normal
2025-11-19 20:00:00,2025-11-19,20:00-20:59,2,0,1,1,0,2.293,16.05,normal
2025-11-19 21:00:00,2025-11-19,21:00-21:59,2,0,1,1,0,2.306,16.14,normal
2025-11-19 22:00:00,2025-11-19,22:00-22:59,2,0,1,1,0,2.225,15.57,normal
2025-11-19 23:00:00,2025-11-19,23:00-23:59,2,0,1,1,0,2.108,14.75,normal
2025-11-20 00:00:00,2025-11-20,00:00-00:59,3,0,1,0,0,0.174,1.22,low_usage
2025-11-20 01:00:00,2025-11-20,01:00-01:59,3,0,1,0,0,0.158,1.1,low_usage
2025-11-20 02:00:00,2025-11-20,02:00-02:59,3,0,1,0,0,0.164,1.15,low_usage
2025-11-20 03:00:00,2025-11-20,03:00-03:59,3,0,1,0,0,0.168,1.18,low_usage
2025-11-20 04:00:00,2025-11-20,04:00-04:59,3,0,1,0,0,0.174,1.22,low_usage
2025-11-20 05:00:00,2025-11-20,05:00-05:59,3,0,1,1,0,2.132,14.92,normal
2025-11-20 06:00:00,2025-11-20,06:00-06:59,3,0,1,1,0,2.318,16.23,normal
2025-11-20 07:00:00,2025-11-20,07:00-07:59,3,0,0,1,0,2.039,14.27,normal
2025-11-20 08:00:00,2025-11-20,08:00-08:59,3,0,0,1,0,1.928,13.5,normal
2025-11-20 09:00:00,2025-11-20,09:00-09:59,3,1,0,0,0,0.214,1.5,low_usage
2025-11-20 10:00:00,2025-11-20,10:00-10:59,3,1,0,0,1,2.996,20.97,normal
